"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.240097050E2,6.503405973E1,2.544427578E1,1.171602953E0,1.519999981E0,3.393999939E2,3.790092468E0,2.500000000E0
2.250026309E2,6.503407345E1,2.544426591E1,1.198146859E0,1.500000000E0,3.405000000E2,3.790092468E0,2.500000000E0
2.259994781E2,6.503408753E1,2.544425608E1,1.123982616E0,1.539999962E0,3.407999878E2,3.790092468E0,2.500000000E0
2.270028236E2,6.503410118E1,2.544424576E1,1.292677388E0,1.509999990E0,3.397000122E2,3.790092468E0,2.500000000E0
2.279957026E2,6.503411349E1,2.544423593E1,1.432503113E0,1.299999952E0,3.403999939E2,3.790092468E0,2.500000000E0
2.290011260E2,6.503412572E1,2.544422669E1,1.394045231E0,1.580000043E0,3.396000061E2,3.790092468E0,2.500000000E0
2.300094327E2,6.503413897E1,2.544421621E1,1.705867591E0,1.519999981E0,3.400000000E2,3.790092468E0,2.500000000E0
2.309952985E2,6.503415157E1,2.544420567E1,1.937428975E0,1.480000019E0,3.402999878E2,3.790092468E0,2.500000000E0
2.320096300E2,6.503416378E1,2.544419493E1,2.075179463E0,1.470000029E0,3.398999939E2,3.790092468E0,2.500000000E0
2.329995574E2,6.503417671E1,2.544418488E1,2.070290563E0,1.539999962E0,3.408999939E2,3.790092468E0,2.500000000E0
2.339967587E2,6.503418993E1,2.544417240E1,2.543733849E0,1.500000000E0,3.381000061E2,3.790092468E0,2.500000000E0
2.350013551E2,6.503420331E1,2.544415764E1,3.265406848E0,1.659999967E0,3.366000061E2,3.790092468E0,2.500000000E0
2.359949143E2,6.503421639E1,2.544414386E1,3.798481421E0,1.360000014E0,3.363999939E2,3.790092468E0,2.500000000E0
2.370004008E2,6.503422899E1,2.544413120E1,3.817762342E0,1.539999962E0,3.378999939E2,3.790092468E0,2.500000000E0
2.380075302E2,6.503424195E1,2.544411947E1,4.373298083E0,1.409999967E0,3.417000122E2,3.790092468E0,2.500000000E0
2.390071441E2,6.503425528E1,2.544410915E1,4.785340149E0,1.539999962E0,3.426000061E2,3.790092468E0,2.500000000E0
2.399984850E2,6.503426942E1,2.544409762E1,4.620965766E0,1.559999943E0,3.407999878E2,3.790092468E0,2.500000000E0
